storefront,pf,storefront_id,tab,tab_id,page,section_index,section,section_id,section_ty,section_lo,iar,bg_style,card_source,card_index,card,card_id,card_ty,cty,cust_sc,source_url,request_url
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,3,Must Watch,75367BAC-A963-4845-B6A7-A290C7BADA77,Container,carousel,0-2x3,{},direct_cd,6,Remembering Aadesh Shrivastava,BBB62EB1-510A-479A-B985-817C9C9C6B32,,tvepisode,shows,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,3,Must Watch,75367BAC-A963-4845-B6A7-A290C7BADA77,Container,carousel,0-2x3,{},direct_cd,7,Mama Shakuni Triggers Duryodhana,AD4D1FBE-AF3A-47CB-A8EF-F32A64633164,,tvepisode,shows,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,3,Must Watch,75367BAC-A963-4845-B6A7-A290C7BADA77,Container,carousel,0-2x3,{},direct_cd,8,The Things That Men Do,73044870-A5DE-4888-BDF7-330A1C5051C5,,tvepisode,shows,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,3,Must Watch,75367BAC-A963-4845-B6A7-A290C7BADA77,Container,carousel,0-2x3,{},direct_cd,9,Maharashtrachi Hasya Jatra Hasnya Cha Common Reason,DE6A3FF1-4B98-4670-83D6-45865F124E18,,tvseries,shows,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,3,Must Watch,75367BAC-A963-4845-B6A7-A290C7BADA77,Container,carousel,0-2x3,{},direct_cd,10,Vashikaranam - Kis Par Rakhe Vishwas,9DDC76A5-6F9D-40BD-83B2-E0F1294A5EE1,,tvseries,shows,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,3,Must Watch,75367BAC-A963-4845-B6A7-A290C7BADA77,Container,carousel,0-2x3,{},direct_cd,11,Gatha Shiv Parivaar Ki Ganesh Kartikey,691452C2-E109-402C-AC22-9E78D88E2283,,tvseries,shows,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,4,Premium,16EF77BD-9AA5-4F33-8261-53054D502351,Container,carousel,0-2x3,{},direct_cd,1,Main Woh Aur Fuji,0756FC24-5EAB-4C5A-8A38-28508FD2880F,,movie,movies,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,4,Premium,16EF77BD-9AA5-4F33-8261-53054D502351,Container,carousel,0-2x3,{},direct_cd,2,Christy (Malayalam),098297D9-3BCC-41A6-89AC-B6C02C54C146,,movie,movies,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,4,Premium,16EF77BD-9AA5-4F33-8261-53054D502351,Container,carousel,0-2x3,{},direct_cd,3,Maranamass (Malayalam),C5207AA8-6C55-4A92-A496-BEAD8BB5C895,,movie,movies,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,4,Premium,16EF77BD-9AA5-4F33-8261-53054D502351,Container,carousel,0-2x3,{},direct_cd,4,Bromance (Telugu),7289D326-BF6C-4289-8E56-8E31CC364475,,movie,movies,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
